City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,howrah,22.5892,88.3103,22.0,83,20,2.06,IN,1731456361
168,kapa'a,22.0752,-159.319,28.18,69,20,6.69,US,1731456362
169,talcahuano,-36.7167,-73.1167,14.82,67,0,8.23,CL,1731456363
170,zyryanskoye,56.8306,86.6258,-12.63,86,100,4.71,RU,1731456364
171,malindi,-3.2175,40.1191,26.13,85,17,2.32,KE,1731456365
172,margate,51.3813,1.3862,10.94,69,99,1.34,GB,1731456367
173,remire-montjoly,4.9167,-52.2667,26.02,94,0,1.03,GF,1731456368
174,arawa,-6.2132,155.5367,30.28,69,68,1.65,PG,1731456370
175,cabedelo,-6.9811,-34.8339,26.37,82,3,5.43,BR,1731456371
176,chongwe,-15.3292,28.682,18.98,86,90,1.42,ZM,1731456373
177,chonchi,-42.6128,-73.8092,13.4,89,96,0.82,CL,1731456374
178,nova floresta,-6.4553,-36.2033,22.03,69,26,5.76,BR,1731456375
179,quellon,-43.1167,-73.6167,11.09,86,100,1.96,CL,1731456376
180,rudnichnyy,59.617,52.4703,-2.05,97,100,2.55,RU,1731456377
181,viitasaari,63.0667,25.8667,0.23,93,72,2.87,FI,1731456378
182,laojunmiao,39.8333,97.7333,1.44,63,27,1.73,CN,1731456380
183,holualoa,19.6228,-155.9522,26.97,69,20,5.66,US,1731456381
184,seka,17.9285,103.9552,21.94,80,8,1.57,TH,1731456382
185,kudahuvadhoo,2.6708,72.8944,28.14,72,32,2.95,MV,1731456383
186,lhuentse,27.6679,91.1839,8.98,84,7,1.4,BT,1731456384
187,amper,9.35,9.7,24.62,37,34,2.7,NG,1731456385
188,bardai,11.65,7.2333,22.03,31,9,3.77,NG,1731456387
189,afaahiti,-17.75,-149.2833,23.84,74,55,7.05,PF,1731456388
190,tuy hoa,13.0833,109.3,24.79,91,99,0.82,VN,1731456389
191,tobelo,1.7284,128.0095,28.42,74,15,1.2,ID,1731456390
192,fang,19.9169,99.2145,19.84,94,5,0.38,TH,1731456391
193,stanley,54.868,-1.6985,5.1,80,73,1.8,GB,1731456392
194,pandan,14.0453,124.1694,27.79,85,92,3.26,PH,1731456394
195,braganca,-1.0536,-46.7656,23.73,88,78,0.69,BR,1731456395
196,ta`u,-14.2336,-169.5144,27.36,81,59,8.73,AS,1731456396
197,chabahar,25.2919,60.643,26.57,59,4,1.18,IR,1731456397
198,cowra,-33.8333,148.6833,26.51,39,60,3.08,AU,1731456398
199,general acha,-37.377,-64.6043,17.54,37,22,1.68,AR,1731456399
200,nova sintra,14.8667,-24.7167,26.45,67,19,7.41,CV,1731456401
201,katsuura,35.1333,140.3,18.79,67,7,10.63,JP,1731456402
202,la punta,-33.1837,-66.3127,20.99,30,2,2.65,AR,1731456403
203,al khums,32.6486,14.2619,19.75,72,58,1.34,LY,1731456404
